,userName,score,at,content,sentiment,review_tokens,review_tokens_fdist,review_tokens_WSW,review_normalized,review_tokens_stemmed
214,Hertati Manalu,5,2022-08-15 13:10:59,di aplikasi ini setiap masalah indihome ditanggapi dengan cepat dan ramah semoga terus seperti itu,1,"['di', 'aplikasi', 'ini', 'setiap', 'masalah', 'indihome', 'ditanggapi', 'dengan', 'cepat', 'dan', 'ramah', 'semoga', 'terus', 'seperti', 'itu']",<FreqDist with 15 samples and 15 outcomes>,"['aplikasi', 'indihome', 'ditanggapi', 'cepat', 'ramah', 'semoga']","['aplikasi', 'indihome', 'ditanggapi', 'cepat', 'ramah', 'semoga']","['aplikasi', 'indihome', 'tanggap', 'cepat', 'ramah', 'moga']"
215,Kurnia Pun,5,2022-08-15 11:57:55,sangat membantu dan memuaskan terdapat program dan informasi lainnya,1,"['sangat', 'membantu', 'dan', 'memuaskan', 'terdapat', 'program', 'dan', 'informasi', 'lainnya']",<FreqDist with 8 samples and 9 outcomes>,"['membantu', 'memuaskan', 'program', 'informasi']","['membantu', 'memuaskan', 'program', 'informasi']","['bantu', 'muas', 'program', 'informasi']"
216,Rocky Catur Wibisono,3,2022-08-15 11:14:46,di depan rumah saya sudah ada jaringan fiber optiknya tapi di aplikasi keterangannya belum ada,-1,"['di', 'depan', 'rumah', 'saya', 'sudah', 'ada', 'jaringan', 'fiber', 'optiknya', 'tapi', 'di', 'aplikasi', 'keterangannya', 'belum', 'ada']",<FreqDist with 13 samples and 15 outcomes>,"['rumah', 'jaringan', 'fiber', 'optiknya', 'aplikasi', 'keterangannya']","['rumah', 'jaringan', 'fiber', 'optiknya', 'aplikasi', 'keterangannya']","['rumah', 'jaring', 'fiber', 'optik', 'aplikasi', 'terang']"
217,Didi Royadi,2,2022-08-15 10:15:28,setelah update aplikasi tidak bisa login dengan notifikasi sedang perbaikan,-1,"['setelah', 'update', 'aplikasi', 'tidak', 'bisa', 'login', 'dengan', 'notifikasi', 'sedang', 'perbaikan']",<FreqDist with 10 samples and 10 outcomes>,"['aplikasi', 'login', 'notifikasi', 'perbaikan']","['aplikasi', 'login', 'notifikasi', 'perbaikan']","['aplikasi', 'login', 'notifikasi', 'baik']"
218,yoyok suyatno,5,2022-08-15 09:58:44,saya pengguna indihome sampai sekarang pelayanan bagus internet lancar dan tanpa gannguan,1,"['saya', 'pengguna', 'indihome', 'sampai', 'sekarang', 'pelayanan', 'bagus', 'internet', 'lancar', 'dan', 'tanpa', 'gannguan']",<FreqDist with 12 samples and 12 outcomes>,"['pengguna', 'indihome', 'pelayanan', 'bagus', 'internet', 'lancar', 'gannguan']","['pengguna', 'indihome', 'pelayanan', 'bagus', 'internet', 'lancar', 'gannguan']","['guna', 'indihome', 'layan', 'bagus', 'internet', 'lancar', 'gannguan']"
219,Anton Yanuar,4,2022-08-15 09:22:35,mau buka apps tau suruh masukan ulang username udah masukin email valid katanya ada perubahan buat kata sandi baru udah bikin kata sandi yg baru katanya token tidak valid apaapaan ini,1,"['mau', 'buka', 'apps', 'tau', 'suruh', 'masukan', 'ulang', 'username', 'udah', 'masukin', 'email', 'valid', 'katanya', 'ada', 'perubahan', 'buat', 'kata', 'sandi', 'baru', 'udah', 'bikin', 'kata', 'sandi', 'yg', 'baru', 'katanya', 'token', 'tidak', 'valid', 'apaapaan', 'ini']",<FreqDist with 25 samples and 31 outcomes>,"['buka', 'apps', 'suruh', 'masukan', 'ulang', 'username', 'masukin', 'email', 'valid', 'perubahan', 'sandi', 'sandi', 'token', 'valid', 'apaapaan']","['buka', 'apps', 'suruh', 'masukan', 'ulang', 'username', 'masukin', 'email', 'valid', 'perubahan', 'sandi', 'sandi', 'token', 'valid', 'apaapaan']","['buka', 'apps', 'suruh', 'masuk', 'ulang', 'username', 'masukin', 'email', 'valid', 'ubah', 'sandi', 'sandi', 'token', 'valid', 'apaapaan']"
220,Bendiktus andang patriajati,1,2022-08-15 08:20:25,saat login lama kalau mau bukak di keluhan lama kadanf sering ganguan biat proses bantuan laporan layanan tergangu,-1,"['saat', 'login', 'lama', 'kalau', 'mau', 'bukak', 'di', 'keluhan', 'lama', 'kadanf', 'sering', 'ganguan', 'biat', 'proses', 'bantuan', 'laporan', 'layanan', 'tergangu']",<FreqDist with 17 samples and 18 outcomes>,"['login', 'bukak', 'keluhan', 'kadanf', 'ganguan', 'biat', 'proses', 'bantuan', 'laporan', 'layanan', 'tergangu']","['login', 'bukak', 'keluhan', 'kadanf', 'ganguan', 'biat', 'proses', 'bantuan', 'laporan', 'layanan', 'tergangu']","['login', 'bukak', 'keluh', 'kadanf', 'ganguan', 'biat', 'proses', 'bantu', 'lapor', 'layan', 'tergangu']"
221,Riski Manung,5,2022-08-15 04:13:29,selama menggunakan indihome koneksi internet lancar proses belajar anak dan nonton hiburan jadi nyaman,1,"['selama', 'menggunakan', 'indihome', 'koneksi', 'internet', 'lancar', 'proses', 'belajar', 'anak', 'dan', 'nonton', 'hiburan', 'jadi', 'nyaman']",<FreqDist with 14 samples and 14 outcomes>,"['indihome', 'koneksi', 'internet', 'lancar', 'proses', 'belajar', 'anak', 'nonton', 'hiburan', 'nyaman']","['indihome', 'koneksi', 'internet', 'lancar', 'proses', 'belajar', 'anak', 'nonton', 'hiburan', 'nyaman']","['indihome', 'koneksi', 'internet', 'lancar', 'proses', 'ajar', 'anak', 'nonton', 'hibur', 'nyaman']"
222,Riyanto,5,2022-08-15 03:46:45,selama saya menggunakan my indihome pelayanan dan lengaduan sangat cepat di atasi semoga selalu solid dalam menangani seluruh masalah,1,"['selama', 'saya', 'menggunakan', 'my', 'indihome', 'pelayanan', 'dan', 'lengaduan', 'sangat', 'cepat', 'di', 'atasi', 'semoga', 'selalu', 'solid', 'dalam', 'menangani', 'seluruh', 'masalah']",<FreqDist with 19 samples and 19 outcomes>,"['indihome', 'pelayanan', 'lengaduan', 'cepat', 'atasi', 'semoga', 'solid', 'menangani']","['indihome', 'pelayanan', 'lengaduan', 'cepat', 'atasi', 'semoga', 'solid', 'menangani']","['indihome', 'layan', 'lengaduan', 'cepat', 'atas', 'moga', 'solid', 'tangan']"
223,Soklin YT,5,2022-08-14 22:33:28,aplikasi sangat membantu dalam melihat koutamembayar tagihanmelihat perangkat yang terhubung dan melapor gangguan,1,"['aplikasi', 'sangat', 'membantu', 'dalam', 'melihat', 'koutamembayar', 'tagihanmelihat', 'perangkat', 'yang', 'terhubung', 'dan', 'melapor', 'gangguan']",<FreqDist with 13 samples and 13 outcomes>,"['aplikasi', 'membantu', 'koutamembayar', 'tagihanmelihat', 'perangkat', 'terhubung', 'melapor', 'gangguan']","['aplikasi', 'membantu', 'koutamembayar', 'tagihanmelihat', 'perangkat', 'terhubung', 'melapor', 'gangguan']","['aplikasi', 'bantu', 'koutamembayar', 'tagihanmelihat', 'perangkat', 'hubung', 'lapor', 'ganggu']"
224,Ade Berau,2,2022-08-14 17:13:46,tolong dong saya mau cek diriwayatnya tapi error gk keluar listnya,-1,"['tolong', 'dong', 'saya', 'mau', 'cek', 'diriwayatnya', 'tapi', 'error', 'gk', 'keluar', 'listnya']",<FreqDist with 11 samples and 11 outcomes>,"['tolong', 'cek', 'diriwayatnya', 'error', 'listnya']","['tolong', 'cek', 'diriwayatnya', 'error', 'listnya']","['tolong', 'cek', 'riwayat', 'error', 'listnya']"
225,Endik Setyawan,5,2022-08-14 17:09:29,aplikasi bagus alhamdulillah terbantu pekerjaan ku dengan adanya internet indihome jaringan lancar tanpa takut terganggu dengan gangguan,1,"['aplikasi', 'bagus', 'alhamdulillah', 'terbantu', 'pekerjaan', 'ku', 'dengan', 'adanya', 'internet', 'indihome', 'jaringan', 'lancar', 'tanpa', 'takut', 'terganggu', 'dengan', 'gangguan']",<FreqDist with 16 samples and 17 outcomes>,"['aplikasi', 'bagus', 'terbantu', 'pekerjaan', 'ku', 'internet', 'indihome', 'jaringan', 'lancar', 'takut', 'terganggu', 'gangguan']","['aplikasi', 'bagus', 'terbantu', 'pekerjaan', 'ku', 'internet', 'indihome', 'jaringan', 'lancar', 'takut', 'terganggu', 'gangguan']","['aplikasi', 'bagus', 'bantu', 'kerja', 'ku', 'internet', 'indihome', 'jaring', 'lancar', 'takut', 'ganggu', 'ganggu']"
226,Sudiar A,4,2022-08-14 15:50:49,tarif masih mahal dan kecepatan internet masih tdk mendukung utk pekerjaan dan hiburan yg butuh jaringan internet yg stabil,1,"['tarif', 'masih', 'mahal', 'dan', 'kecepatan', 'internet', 'masih', 'tdk', 'mendukung', 'utk', 'pekerjaan', 'dan', 'hiburan', 'yg', 'butuh', 'jaringan', 'internet', 'yg', 'stabil']",<FreqDist with 15 samples and 19 outcomes>,"['tarif', 'mahal', 'kecepatan', 'internet', 'mendukung', 'pekerjaan', 'hiburan', 'butuh', 'jaringan', 'internet', 'stabil']","['tarif', 'mahal', 'kecepatan', 'internet', 'mendukung', 'pekerjaan', 'hiburan', 'butuh', 'jaringan', 'internet', 'stabil']","['tarif', 'mahal', 'cepat', 'internet', 'dukung', 'kerja', 'hibur', 'butuh', 'jaring', 'internet', 'stabil']"
227,Kimura Hagaku,5,2022-08-14 15:36:56,kenapa verifikasi data diri saya tidak selesai selesai katanya hanya butuh menit tapi ini sudah hari dan berapa lama untuk menunggu verifikasi order tersebut semoga dipercepat dan dipermudah pemasangan dan pemakaian wifi indihome di kost an saya,1,"['kenapa', 'verifikasi', 'data', 'diri', 'saya', 'tidak', 'selesai', 'selesai', 'katanya', 'hanya', 'butuh', 'menit', 'tapi', 'ini', 'sudah', 'hari', 'dan', 'berapa', 'lama', 'untuk', 'menunggu', 'verifikasi', 'order', 'tersebut', 'semoga', 'dipercepat', 'dan', 'dipermudah', 'pemasangan', 'dan', 'pemakaian', 'wifi', 'indihome', 'di', 'kost', 'an', 'saya']",<FreqDist with 32 samples and 37 outcomes>,"['verifikasi', 'data', 'selesai', 'selesai', 'butuh', 'menit', 'menunggu', 'verifikasi', 'order', 'semoga', 'dipercepat', 'dipermudah', 'pemasangan', 'pemakaian', 'wifi', 'indihome', 'kost']","['verifikasi', 'data', 'selesai', 'selesai', 'butuh', 'menit', 'menunggu', 'verifikasi', 'order', 'semoga', 'dipercepat', 'dipermudah', 'pemasangan', 'pemakaian', 'wifi', 'indihome', 'kost']","['verifikasi', 'data', 'selesai', 'selesai', 'butuh', 'menit', 'tunggu', 'verifikasi', 'order', 'moga', 'cepat', 'mudah', 'pasang', 'pakai', 'wifi', 'indihome', 'kost']"
228,Han Cok,1,2022-08-14 15:10:00,buka aplikasi aja gk bisa aneh padahal guna data ganti guna wifi juga masi gk bisa,-1,"['buka', 'aplikasi', 'aja', 'gk', 'bisa', 'aneh', 'padahal', 'guna', 'data', 'ganti', 'guna', 'wifi', 'juga', 'masi', 'gk', 'bisa']",<FreqDist with 13 samples and 16 outcomes>,"['buka', 'aplikasi', 'aneh', 'data', 'ganti', 'wifi', 'masi']","['buka', 'aplikasi', 'aneh', 'data', 'ganti', 'wifi', 'masi']","['buka', 'aplikasi', 'aneh', 'data', 'ganti', 'wifi', 'mas']"
229,Ryan safriansyah,1,2022-08-14 13:58:08,saya sebagai customer sangat  rugikan dari kemarin saya mengalami kerusakan tetapi sampai saat ini tidak ada yang memperbaiki segitu tiket untuk memperbaiki sudah ada saya kantongi tetapi petugas yg memperbaiki blm dtng jg,-1,"['saya', 'sebagai', 'customer', 'sangat', 'rugikan', 'dari', 'kemarin', 'saya', 'mengalami', 'kerusakan', 'tetapi', 'sampai', 'saat', 'ini', 'tidak', 'ada', 'yang', 'memperbaiki', 'segitu', 'tiket', 'untuk', 'memperbaiki', 'sudah', 'ada', 'saya', 'kantongi', 'tetapi', 'petugas', 'yg', 'memperbaiki', 'blm', 'dtng', 'jg']",<FreqDist with 27 samples and 33 outcomes>,"['customer', 'rugikan', 'kemarin', 'mengalami', 'kerusakan', 'memperbaiki', 'segitu', 'tiket', 'memperbaiki', 'kantongi', 'petugas', 'memperbaiki', 'dtng']","['customer', 'rugikan', 'kemarin', 'mengalami', 'kerusakan', 'memperbaiki', 'segitu', 'tiket', 'memperbaiki', 'kantongi', 'petugas', 'memperbaiki', 'dtng']","['customer', 'rugi', 'kemarin', 'alami', 'rusa', 'baik', 'segitu', 'tiket', 'baik', 'kantong', 'tugas', 'baik', 'dtng']"
230,Muhammad Arif,1,2022-08-14 12:15:55,diperbaiki lah servernya masa bertahun tahun mau lapor gak pernah bisa lewat aplikasi padahal tiap telepon selalu diarahin untuk lapor lewat aplikasi,-1,"['diperbaiki', 'lah', 'servernya', 'masa', 'bertahun', 'tahun', 'mau', 'lapor', 'gak', 'pernah', 'bisa', 'lewat', 'aplikasi', 'padahal', 'tiap', 'telepon', 'selalu', 'diarahin', 'untuk', 'lapor', 'lewat', 'aplikasi']",<FreqDist with 19 samples and 22 outcomes>,"['diperbaiki', 'servernya', 'bertahun', 'lapor', 'aplikasi', 'telepon', 'diarahin', 'lapor', 'aplikasi']","['diperbaiki', 'servernya', 'bertahun', 'lapor', 'aplikasi', 'telepon', 'diarahin', 'lapor', 'aplikasi']","['baik', 'servernya', 'tahun', 'lapor', 'aplikasi', 'telepon', 'diarahin', 'lapor', 'aplikasi']"
231,Hasan Basri Harahap_official,1,2022-08-14 08:33:26,operator cs ok tanggap banget buat laporan customer tapi tehknisinya ndablek lama nerima laporan dan kurang tanggap atau memang tehknisinya cuma org per provinsi entahlah,-1,"['operator', 'cs', 'ok', 'tanggap', 'banget', 'buat', 'laporan', 'customer', 'tapi', 'tehknisinya', 'ndablek', 'lama', 'nerima', 'laporan', 'dan', 'kurang', 'tanggap', 'atau', 'memang', 'tehknisinya', 'cuma', 'org', 'per', 'provinsi', 'entahlah']",<FreqDist with 22 samples and 25 outcomes>,"['operator', 'cs', 'tanggap', 'banget', 'laporan', 'customer', 'tehknisinya', 'ndablek', 'nerima', 'laporan', 'tanggap', 'tehknisinya', 'provinsi']","['operator', 'cs', 'tanggap', 'banget', 'laporan', 'customer', 'tehknisinya', 'ndablek', 'nerima', 'laporan', 'tanggap', 'tehknisinya', 'provinsi']","['operator', 'cs', 'tanggap', 'banget', 'lapor', 'customer', 'tehknisinya', 'ndablek', 'nerima', 'lapor', 'tanggap', 'tehknisinya', 'provinsi']"
232,Wid Widya,1,2022-08-14 08:17:03,aplikasinya tidak bagus setelah diupgrade gak bisa lagi cek jumlah perangkat yg terhubung email yg dimasukan pertama kali tdk sama dgn yg ada diprofil akhirnya harus ganti email lain utk verifikasi akun tidak bisa ganti profil selalu muncul kami dalam meningkatkan layanan silahkan kembali lagi nanti aplikasi yang aneh,-1,"['aplikasinya', 'tidak', 'bagus', 'setelah', 'diupgrade', 'gak', 'bisa', 'lagi', 'cek', 'jumlah', 'perangkat', 'yg', 'terhubung', 'email', 'yg', 'dimasukan', 'pertama', 'kali', 'tdk', 'sama', 'dgn', 'yg', 'ada', 'diprofil', 'akhirnya', 'harus', 'ganti', 'email', 'lain', 'utk', 'verifikasi', 'akun', 'tidak', 'bisa', 'ganti', 'profil', 'selalu', 'muncul', 'kami', 'dalam', 'meningkatkan', 'layanan', 'silahkan', 'kembali', 'lagi', 'nanti', 'aplikasi', 'yang', 'aneh']",<FreqDist with 42 samples and 49 outcomes>,"['aplikasinya', 'bagus', 'diupgrade', 'cek', 'perangkat', 'terhubung', 'email', 'dimasukan', 'diprofil', 'ganti', 'email', 'verifikasi', 'akun', 'ganti', 'profil', 'muncul', 'meningkatkan', 'layanan', 'silahkan', 'aplikasi', 'aneh']","['aplikasinya', 'bagus', 'diupgrade', 'cek', 'perangkat', 'terhubung', 'email', 'dimasukan', 'diprofil', 'ganti', 'email', 'verifikasi', 'akun', 'ganti', 'profil', 'muncul', 'meningkatkan', 'layanan', 'silahkan', 'aplikasi', 'aneh']","['aplikasi', 'bagus', 'diupgrade', 'cek', 'perangkat', 'hubung', 'email', 'masuk', 'profil', 'ganti', 'email', 'verifikasi', 'akun', 'ganti', 'profil', 'muncul', 'tingkat', 'layan', 'silah', 'aplikasi', 'aneh']"
233,Hendy Lim,1,2022-08-14 05:19:03,aplikasi lemot sering gangguan tidak bisa membuat laporan gangguan,-1,"['aplikasi', 'lemot', 'sering', 'gangguan', 'tidak', 'bisa', 'membuat', 'laporan', 'gangguan']",<FreqDist with 8 samples and 9 outcomes>,"['aplikasi', 'lemot', 'gangguan', 'laporan', 'gangguan']","['aplikasi', 'lemot', 'gangguan', 'laporan', 'gangguan']","['aplikasi', 'lot', 'ganggu', 'lapor', 'ganggu']"
234,Fandhi Abdillah,4,2022-08-14 03:32:27,aplikasi yang bagus dan sangat membantu meskipun kadang sering error semoga kedepannya lebih ditingkatkan lagi kualitas layanan indihome,1,"['aplikasi', 'yang', 'bagus', 'dan', 'sangat', 'membantu', 'meskipun', 'kadang', 'sering', 'error', 'semoga', 'kedepannya', 'lebih', 'ditingkatkan', 'lagi', 'kualitas', 'layanan', 'indihome']",<FreqDist with 18 samples and 18 outcomes>,"['aplikasi', 'bagus', 'membantu', 'kadang', 'error', 'semoga', 'kedepannya', 'ditingkatkan', 'kualitas', 'layanan', 'indihome']","['aplikasi', 'bagus', 'membantu', 'kadang', 'error', 'semoga', 'kedepannya', 'ditingkatkan', 'kualitas', 'layanan', 'indihome']","['aplikasi', 'bagus', 'bantu', 'kadang', 'error', 'moga', 'depan', 'tingkat', 'kualitas', 'layan', 'indihome']"
235,Dedi,3,2022-08-14 02:09:20,versi baru di suruh ganti passworddi anggap kadaluarsabgtu dpt kode pemulihanreset passworddi masukan kodemalah di suruh cek konektivitasjaringan,-1,"['versi', 'baru', 'di', 'suruh', 'ganti', 'passworddi', 'anggap', 'kadaluarsabgtu', 'dpt', 'kode', 'pemulihanreset', 'passworddi', 'masukan', 'kodemalah', 'di', 'suruh', 'cek', 'konektivitasjaringan']",<FreqDist with 15 samples and 18 outcomes>,"['versi', 'suruh', 'ganti', 'passworddi', 'anggap', 'kadaluarsabgtu', 'kode', 'pemulihanreset', 'passworddi', 'masukan', 'kodemalah', 'suruh', 'cek', 'konektivitasjaringan']","['versi', 'suruh', 'ganti', 'passworddi', 'anggap', 'kadaluarsabgtu', 'kode', 'pemulihanreset', 'passworddi', 'masukan', 'kodemalah', 'suruh', 'cek', 'konektivitasjaringan']","['versi', 'suruh', 'ganti', 'passworddi', 'anggap', 'kadaluarsabgtu', 'kode', 'pemulihanreset', 'passworddi', 'masuk', 'kodemalah', 'suruh', 'cek', 'konektivitasjaringan']"
236,yanuar indra,1,2022-08-13 17:45:31,apk nya parah sering bermasalah sering gak bisa masuk myindihome,-1,"['apk', 'nya', 'parah', 'sering', 'bermasalah', 'sering', 'gak', 'bisa', 'masuk', 'myindihome']",<FreqDist with 9 samples and 10 outcomes>,"['apk', 'parah', 'bermasalah', 'myindihome']","['apk', 'parah', 'bermasalah', 'myindihome']","['apk', 'parah', 'masalah', 'myindihome']"
237,Budi Aja,5,2022-08-13 12:27:36,aplikasinya sangat berguna dan membantu karena memudahkan pengguna untuk dapat melakukan pembayaran tagihan melalui aplikasi,1,"['aplikasinya', 'sangat', 'berguna', 'dan', 'membantu', 'karena', 'memudahkan', 'pengguna', 'untuk', 'dapat', 'melakukan', 'pembayaran', 'tagihan', 'melalui', 'aplikasi']",<FreqDist with 15 samples and 15 outcomes>,"['aplikasinya', 'berguna', 'membantu', 'memudahkan', 'pengguna', 'pembayaran', 'tagihan', 'aplikasi']","['aplikasinya', 'berguna', 'membantu', 'memudahkan', 'pengguna', 'pembayaran', 'tagihan', 'aplikasi']","['aplikasi', 'guna', 'bantu', 'mudah', 'guna', 'bayar', 'tagih', 'aplikasi']"
238,ashri thelau,1,2022-08-13 09:35:46,aplikasinya ga bisa diakses alasan periksa jaringan padahal jaringan ga ada masalah hanya waktu bulanbulan pertama pemakaiannya saja yang bagus,-1,"['aplikasinya', 'ga', 'bisa', 'diakses', 'alasan', 'periksa', 'jaringan', 'padahal', 'jaringan', 'ga', 'ada', 'masalah', 'hanya', 'waktu', 'bulanbulan', 'pertama', 'pemakaiannya', 'saja', 'yang', 'bagus']",<FreqDist with 18 samples and 20 outcomes>,"['aplikasinya', 'diakses', 'alasan', 'periksa', 'jaringan', 'jaringan', 'bulanbulan', 'pemakaiannya', 'bagus']","['aplikasinya', 'diakses', 'alasan', 'periksa', 'jaringan', 'jaringan', 'bulanbulan', 'pemakaiannya', 'bagus']","['aplikasi', 'akses', 'alas', 'periksa', 'jaring', 'jaring', 'bulanbulan', 'pakai', 'bagus']"
239,Adinda Ayu Puspitasari,1,2022-08-13 06:57:12,ini aplikasi kenapa mau daftar tapi tertulis sedang meningkatkan pelayanan terus jadi gak bisa ngecek atau daftar sama sekali tolong di perbaiki,-1,"['ini', 'aplikasi', 'kenapa', 'mau', 'daftar', 'tapi', 'tertulis', 'sedang', 'meningkatkan', 'pelayanan', 'terus', 'jadi', 'gak', 'bisa', 'ngecek', 'atau', 'daftar', 'sama', 'sekali', 'tolong', 'di', 'perbaiki']",<FreqDist with 21 samples and 22 outcomes>,"['aplikasi', 'daftar', 'tertulis', 'meningkatkan', 'pelayanan', 'ngecek', 'daftar', 'tolong', 'perbaiki']","['aplikasi', 'daftar', 'tertulis', 'meningkatkan', 'pelayanan', 'ngecek', 'daftar', 'tolong', 'perbaiki']","['aplikasi', 'daftar', 'tulis', 'tingkat', 'layan', 'ngecek', 'daftar', 'tolong', 'baik']"
240,Reno Andartio,1,2022-08-13 06:46:40,saya mau melakukan pengaduan internet tidak berfungsi tetapi selalu di arahkannya ke restart modem terus ingin lapor ke call center terkena pulsa tidak ada call center by wa,-1,"['saya', 'mau', 'melakukan', 'pengaduan', 'internet', 'tidak', 'berfungsi', 'tetapi', 'selalu', 'di', 'arahkannya', 'ke', 'restart', 'modem', 'terus', 'ingin', 'lapor', 'ke', 'call', 'center', 'terkena', 'pulsa', 'tidak', 'ada', 'call', 'center', 'by', 'wa']",<FreqDist with 24 samples and 28 outcomes>,"['pengaduan', 'internet', 'berfungsi', 'arahkannya', 'restart', 'modem', 'lapor', 'call', 'center', 'terkena', 'pulsa', 'call', 'center']","['pengaduan', 'internet', 'berfungsi', 'arahkannya', 'restart', 'modem', 'lapor', 'call', 'center', 'terkena', 'pulsa', 'call', 'center']","['adu', 'internet', 'fungsi', 'arah', 'restart', 'modem', 'lapor', 'call', 'center', 'kena', 'pulsa', 'call', 'center']"
241,alfiani riskah,5,2022-08-13 05:29:07,one of good aplication for maintain indihome bill setiap bulan ada update tagihan tanpa lama menunggu pengiriman dr email dr segi tampilan juga user friendly semoga kedepan ada semacam reminder jd tiap tanggal tertentu ada notifikasi untuk setiap tagihan di sisi lain kedepan smga aplikasi ini bs digunakan lbh banyak lagi bs utk daftar pengguna baru smpai bayar downgrade upgrade bahkan churn overall oke aplikasinya,1,"['one', 'of', 'good', 'aplication', 'for', 'maintain', 'indihome', 'bill', 'setiap', 'bulan', 'ada', 'update', 'tagihan', 'tanpa', 'lama', 'menunggu', 'pengiriman', 'dr', 'email', 'dr', 'segi', 'tampilan', 'juga', 'user', 'friendly', 'semoga', 'kedepan', 'ada', 'semacam', 'reminder', 'jd', 'tiap', 'tanggal', 'tertentu', 'ada', 'notifikasi', 'untuk', 'setiap', 'tagihan', 'di', 'sisi', 'lain', 'kedepan', 'smga', 'aplikasi', 'ini', 'bs', 'digunakan', 'lbh', 'banyak', 'lagi', 'bs', 'utk', 'daftar', 'pengguna', 'baru', 'smpai', 'bayar', 'downgrade', 'upgrade', 'bahkan', 'churn', 'overall', 'oke', 'aplikasinya']",<FreqDist with 58 samples and 65 outcomes>,"['one', 'aplication', 'maintain', 'indihome', 'bill', 'tagihan', 'menunggu', 'pengiriman', 'email', 'segi', 'tampilan', 'user', 'friendly', 'semoga', 'kedepan', 'reminder', 'tanggal', 'notifikasi', 'tagihan', 'sisi', 'kedepan', 'smga', 'aplikasi', 'daftar', 'pengguna', 'smpai', 'bayar', 'downgrade', 'upgrade', 'churn', 'overall', 'oke', 'aplikasinya']","['one', 'aplication', 'maintain', 'indihome', 'bill', 'tagihan', 'menunggu', 'pengiriman', 'email', 'segi', 'tampilan', 'user', 'friendly', 'semoga', 'kedepan', 'reminder', 'tanggal', 'notifikasi', 'tagihan', 'sisi', 'kedepan', 'smga', 'aplikasi', 'daftar', 'pengguna', 'smpai', 'bayar', 'downgrade', 'upgrade', 'churn', 'overall', 'oke', 'aplikasinya']","['one', 'aplication', 'maintain', 'indihome', 'bill', 'tagih', 'tunggu', 'kirim', 'email', 'segi', 'tampil', 'user', 'friendly', 'moga', 'depan', 'reminder', 'tanggal', 'notifikasi', 'tagih', 'sisi', 'depan', 'smga', 'aplikasi', 'daftar', 'guna', 'smpai', 'bayar', 'downgrade', 'upgrade', 'churn', 'overall', 'oke', 'aplikasi']"
242,Cut Maisara,5,2022-08-13 04:36:31,lebih sering buka all channelnya ya trus boleh donk kalo data dirinya di pake  banyak titik dan dapat diskon pasang gratis,1,"['lebih', 'sering', 'buka', 'all', 'channelnya', 'ya', 'trus', 'boleh', 'donk', 'kalo', 'data', 'dirinya', 'di', 'pake', 'banyak', 'titik', 'dan', 'dapat', 'diskon', 'pasang', 'gratis']",<FreqDist with 21 samples and 21 outcomes>,"['buka', 'all', 'channelnya', 'data', 'pake', 'titik', 'diskon', 'pasang', 'gratis']","['buka', 'all', 'channelnya', 'data', 'pake', 'titik', 'diskon', 'pasang', 'gratis']","['buka', 'all', 'channelnya', 'data', 'pake', 'titik', 'diskon', 'pasang', 'gratis']"
243,Km Guss,5,2022-08-13 03:05:09,aplikasi bagus memudahkan pengguna sangat membantu dalam segi pelayanan bisa cek tagihan dan melihat riwayat pembayaran,1,"['aplikasi', 'bagus', 'memudahkan', 'pengguna', 'sangat', 'membantu', 'dalam', 'segi', 'pelayanan', 'bisa', 'cek', 'tagihan', 'dan', 'melihat', 'riwayat', 'pembayaran']",<FreqDist with 16 samples and 16 outcomes>,"['aplikasi', 'bagus', 'memudahkan', 'pengguna', 'membantu', 'segi', 'pelayanan', 'cek', 'tagihan', 'riwayat', 'pembayaran']","['aplikasi', 'bagus', 'memudahkan', 'pengguna', 'membantu', 'segi', 'pelayanan', 'cek', 'tagihan', 'riwayat', 'pembayaran']","['aplikasi', 'bagus', 'mudah', 'guna', 'bantu', 'segi', 'layan', 'cek', 'tagih', 'riwayat', 'bayar']"
244,elly rachmawati,5,2022-08-13 02:36:55,aplikasi mantapmembantu mengecek tagihan bulanandan promo terbaru indihome,1,"['aplikasi', 'mantapmembantu', 'mengecek', 'tagihan', 'bulanandan', 'promo', 'terbaru', 'indihome']",<FreqDist with 8 samples and 8 outcomes>,"['aplikasi', 'mantapmembantu', 'mengecek', 'tagihan', 'bulanandan', 'promo', 'terbaru', 'indihome']","['aplikasi', 'mantapmembantu', 'mengecek', 'tagihan', 'bulanandan', 'promo', 'terbaru', 'indihome']","['aplikasi', 'mantapmembantu', 'ecek', 'tagih', 'bulanandan', 'promo', 'baru', 'indihome']"
